Image,x1,y1,x2,y2,Label
L_07_05_16_DSC00126.JPG,2488,357,2520,427,3
L_07_05_16_DSC00126.JPG,1707,446,1746,471,3
L_07_05_16_DSC00127.JPG,2612,2314,2641,2361,3
L_07_05_16_DSC00127.JPG,1793,2450,1843,2475,3
L_07_05_16_DSC00150.JPG,1492,1381,1586,1441,2
L_07_05_16_DSC00150.JPG,1072,1354,1170,1401,2
L_07_05_16_DSC00150.JPG,897,1380,982,1447,2
L_07_05_16_DSC00150.JPG,827,1468,912,1534,2
L_07_05_16_DSC00150.JPG,1146,854,1240,915,2
L_07_05_16_DSC00150.JPG,1216,720,1272,770,2
L_07_05_16_DSC00150.JPG,1020,515,1131,575,2
L_07_05_16_DSC00150.JPG,1450,458,1501,514,2
L_07_05_16_DSC00150.JPG,1348,287,1414,372,2
L_07_05_16_DSC00151.JPG,1546,3748,1616,3804,2
L_07_05_16_DSC00151.JPG,1074,3685,1170,3716,2
L_07_05_16_DSC00151.JPG,875,3707,975,3765,2
L_07_05_16_DSC00151.JPG,797,3796,872,3876,2
L_07_05_16_DSC00151.JPG,1173,3148,1260,3218,2
L_07_05_16_DSC00151.JPG,1487,2720,1525,2777,2
L_07_05_16_DSC00151.JPG,1278,2976,1354,3007,2
L_07_05_16_DSC00151.JPG,1071,2771,1170,2817,2
L_07_05_16_DSC00151.JPG,1386,2550,1436,2635,2
L_07_05_16_DSC00151.JPG,1106,1806,1168,1833,4
L_07_05_16_DSC00151.JPG,938,1668,976,1721,4
L_07_05_16_DSC00151.JPG,1520,11,1584,50,5
L_07_05_16_DSC00152.JPG,1241,3847,1295,3886,4
L_07_05_16_DSC00152.JPG,1071,3710,1106,3760,4
L_07_05_16_DSC00152.JPG,1652,2017,1717,2047,5
L_07_05_16_DSC00162.JPG,754,28,842,76,1
L_07_05_16_DSC00163.JPG,705,2177,775,2227,1
L_07_05_16_DSC00197.JPG,1176,651,1271,706,2
L_07_05_16_DSC00197.JPG,641,706,695,782,2
L_07_05_16_DSC00197.JPG,3726,1320,3775,1414,2
L_07_05_16_DSC00198.JPG,3867,3607,3920,3717,2
L_07_05_16_DSC00198.JPG,1283,3040,1351,3106,2
L_07_05_16_DSC00198.JPG,743,3116,828,3206,2
L_07_05_16_DSC00198.JPG,23,3205,97,3308,2
L_07_05_16_DSC00257.JPG,5710,401,5764,465,3
L_07_05_16_DSC00257.JPG,5703,370,5735,412,3
L_07_05_16_DSC00258.JPG,5897,2552,5942,2610,3
L_07_05_16_DSC00258.JPG,5888,2512,5923,2550,3
L_07_05_16_DSC00259.JPG,5508,1546,5546,1620,3
L_07_05_16_DSC00270.JPG,3153,2220,3212,2254,1
L_07_05_16_DSC00271.JPG,153,1298,232,1347,1
L_07_05_16_DSC00279.JPG,3386,326,3437,390,1
L_07_05_16_DSC00280.JPG,3498,2382,3558,2450,1
L_07_05_16_DSC00286.JPG,4887,885,4928,952,2
L_07_05_16_DSC00287.JPG,5166,3233,5207,3308,2
L_07_05_16_DSC00313.JPG,2902,348,2976,385,3
