epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.531,3.6004,7.8255,2.83916,0.46755,0.45643,0.46575,0.26194,3.06662,3.18494,2.60317,0.0700521,0.00332755,0.00332755
2,262.433,3.5924,4.43294,2.74309,0.54587,0.43935,0.37787,0.2025,3.20101,4.10356,2.69426,0.0400191,0.00662791,0.00662791
3,372.857,3.81573,4.83855,2.84895,0.54609,0.37997,0.34423,0.16816,3.57672,4.38929,2.95509,0.00995314,0.00989527,0.00989527
4,482.565,3.93228,4.96442,2.90908,0.27739,0.36975,0.27984,0.13914,3.64087,5.03521,2.96118,0.0098515,0.0098515,0.0098515
5,592.351,3.84661,4.64979,2.89671,0.56605,0.40097,0.39261,0.20201,3.2408,3.56778,2.73547,0.009802,0.009802,0.009802
6,701.938,3.74563,4.25395,2.81582,0.54143,0.47359,0.51159,0.26562,3.29594,3.02245,2.75759,0.0097525,0.0097525,0.0097525
7,811.647,3.68409,4.10228,2.80171,0.46818,0.47521,0.42992,0.22382,3.28264,3.40338,2.76944,0.009703,0.009703,0.009703
8,921.619,3.64015,3.98071,2.76569,0.55695,0.53989,0.54778,0.30266,3.0899,2.72679,2.63467,0.0096535,0.0096535,0.0096535
9,1031.64,3.56373,3.75348,2.72721,0.52548,0.58981,0.57149,0.33501,3.05079,2.63564,2.64551,0.009604,0.009604,0.009604
10,1141.61,3.48953,3.56754,2.67779,0.52508,0.57875,0.56506,0.32274,3.08836,2.74956,2.66279,0.0095545,0.0095545,0.0095545
11,1251.24,3.44737,3.61371,2.69746,0.56065,0.57723,0.59928,0.34989,3.0239,2.48962,2.61912,0.009505,0.009505,0.009505
12,1361.11,3.43616,3.52678,2.65987,0.58227,0.58369,0.58722,0.3323,3.03849,2.59871,2.63443,0.0094555,0.0094555,0.0094555
13,1470.5,3.40207,3.36879,2.63925,0.65619,0.59244,0.61301,0.34746,3.10695,2.36062,2.64762,0.009406,0.009406,0.009406
14,1580.06,3.37607,3.38005,2.61827,0.59092,0.59509,0.60852,0.35835,2.96503,2.33954,2.59214,0.0093565,0.0093565,0.0093565
15,1689.48,3.3018,3.19985,2.59231,0.67796,0.62245,0.66424,0.38766,2.95396,2.33806,2.58507,0.009307,0.009307,0.009307
16,1799.02,3.30631,3.27176,2.59069,0.68512,0.58351,0.63393,0.36644,3.0068,2.40489,2.63269,0.0092575,0.0092575,0.0092575
17,1908.5,3.25623,3.10397,2.55673,0.73744,0.59496,0.67923,0.40416,2.86434,2.23527,2.52363,0.009208,0.009208,0.009208
18,2018.11,3.26051,3.17858,2.55634,0.71217,0.61995,0.69243,0.41398,2.89442,2.10214,2.55882,0.0091585,0.0091585,0.0091585
19,2127.45,3.22726,3.12647,2.55548,0.63672,0.65058,0.6774,0.41693,2.87478,2.28428,2.55176,0.009109,0.009109,0.009109
20,2236.78,3.21287,3.11742,2.554,0.73612,0.64674,0.70062,0.43188,2.82918,2.07561,2.52618,0.0090595,0.0090595,0.0090595
21,2346.32,3.13507,2.96624,2.50133,0.67303,0.68443,0.70318,0.42276,2.90278,1.98547,2.55266,0.00901,0.00901,0.00901
22,2456.05,3.11825,2.91535,2.49807,0.60198,0.6475,0.64888,0.40103,2.86738,2.3566,2.56404,0.0089605,0.0089605,0.0089605
23,2565.45,3.09321,2.88831,2.48953,0.68866,0.71508,0.75936,0.4541,2.8757,1.90724,2.53682,0.008911,0.008911,0.008911
24,2675.19,3.10037,2.89256,2.47955,0.70762,0.60423,0.68174,0.41692,2.88219,2.08207,2.55343,0.0088615,0.0088615,0.0088615
25,2784.99,3.07631,2.88907,2.46673,0.61572,0.63287,0.6491,0.38921,2.87682,2.30838,2.55324,0.008812,0.008812,0.008812
26,2894.72,3.01016,2.76919,2.45007,0.71003,0.62783,0.69694,0.42,2.86482,2.09693,2.55086,0.0087625,0.0087625,0.0087625
27,3004.26,2.98626,2.74074,2.43778,0.70535,0.6761,0.72706,0.45195,2.79579,1.88622,2.47978,0.008713,0.008713,0.008713
28,3114.27,2.99141,2.77478,2.44163,0.71041,0.63972,0.71343,0.43542,2.86374,2.02562,2.54595,0.0086635,0.0086635,0.0086635
29,3224.12,2.99458,2.73795,2.43232,0.69814,0.67632,0.71186,0.42607,2.88027,2.04343,2.5463,0.008614,0.008614,0.008614
30,3334.27,2.95461,2.67822,2.42563,0.74767,0.67624,0.72691,0.45563,2.82126,1.91364,2.52669,0.0085645,0.0085645,0.0085645
31,3444.16,2.91127,2.63844,2.39793,0.80271,0.69547,0.7781,0.48828,2.79492,1.76322,2.52374,0.008515,0.008515,0.008515
32,3553.9,2.90136,2.58621,2.38836,0.7296,0.69967,0.74338,0.46688,2.80362,1.79665,2.52571,0.0084655,0.0084655,0.0084655
33,3663.5,2.89473,2.6225,2.38369,0.68838,0.68031,0.72389,0.44819,2.81319,1.97341,2.51527,0.008416,0.008416,0.008416
34,3773.2,2.92359,2.64789,2.40521,0.76831,0.70027,0.76419,0.47234,2.86012,1.81969,2.52533,0.0083665,0.0083665,0.0083665
35,3882.99,2.90172,2.65494,2.38575,0.74085,0.66424,0.73485,0.4575,2.85868,1.80939,2.5479,0.008317,0.008317,0.008317
36,3992.4,2.85739,2.55734,2.36523,0.75797,0.65868,0.75347,0.46065,2.89232,1.90425,2.55603,0.0082675,0.0082675,0.0082675
37,4101.94,2.82865,2.58849,2.38142,0.81,0.66194,0.76273,0.47793,2.82331,1.7431,2.51536,0.008218,0.008218,0.008218
38,4211.79,2.81896,2.52707,2.35888,0.69174,0.643,0.68627,0.42135,2.85952,1.95617,2.5573,0.0081685,0.0081685,0.0081685
39,4321.63,2.79248,2.52363,2.34923,0.72471,0.69564,0.75521,0.47969,2.74698,1.76816,2.50729,0.008119,0.008119,0.008119
40,4431.46,2.78897,2.51896,2.35359,0.67858,0.66161,0.69524,0.43408,2.81477,1.88489,2.53269,0.0080695,0.0080695,0.0080695
41,4541.06,2.78538,2.48055,2.33598,0.77214,0.66049,0.74282,0.46454,2.84956,1.89727,2.53484,0.00802,0.00802,0.00802
42,4650.96,2.73466,2.43546,2.31911,0.73343,0.71009,0.75096,0.46706,2.82558,1.72434,2.51317,0.0079705,0.0079705,0.0079705
43,4760.9,2.75814,2.47612,2.33584,0.75402,0.72036,0.77226,0.48469,2.7646,1.73618,2.4846,0.007921,0.007921,0.007921
44,4870.72,2.74191,2.43713,2.31829,0.64532,0.70104,0.68072,0.43025,2.79518,1.95458,2.52444,0.0078715,0.0078715,0.0078715
45,4980.32,2.68626,2.38811,2.3016,0.76366,0.71835,0.77086,0.4785,2.84165,1.79378,2.55509,0.007822,0.007822,0.007822
46,5089.98,2.6614,2.38219,2.30298,0.69974,0.70687,0.73646,0.46723,2.75028,1.83267,2.51114,0.0077725,0.0077725,0.0077725
47,5199.55,2.66808,2.33678,2.2867,0.80334,0.67739,0.76793,0.49365,2.75511,1.77813,2.48882,0.007723,0.007723,0.007723
48,5309.45,2.63878,2.34683,2.28563,0.74245,0.66096,0.7426,0.4709,2.77534,1.86776,2.50332,0.0076735,0.0076735,0.0076735
49,5419.3,2.6303,2.33274,2.26817,0.76421,0.69159,0.75621,0.46803,2.81888,1.78901,2.54122,0.007624,0.007624,0.007624
